commit ID,author name,committer name,message,URL,commit date
MDY6Q29tbWl0NDE2NDQ4MjoyODk4NmRhNGNhMTY3YWUyNTdhYmNhZjdjYWVhMjMwZWNhMmJjZDgw,Thomas Tanner,Tim Graham,Fixed #5986 -- Added ability to customize order of Form fields,https://api.github.com/repos/django/django/git/commits/28986da4ca167ae257abcaf7caea230eca2bcd80,2015-03-16
MDY6Q29tbWl0NDE2NDQ4Mjo2NTQ0MWJiZGIwMjQyNzY1NTg2OWM0Mjc5MWEwYmM1YTljNjMxMjky,Michael Angeletti,Tim Graham,Fixed #24391 -- Made BoundField.value() cache callable values.,https://api.github.com/repos/django/django/git/commits/65441bbdb02427655869c42791a0bc5a9c631292,2015-02-23
MDY6Q29tbWl0NDE2NDQ4MjowZWQ3ZDE1NTYzNWRhOWY3OWQ0ZGQ2N2U0ODg5MDg3ZDM2NzNjNmRh,Tim Graham,Tim Graham,Sorted imports with isort; refs #23860.,https://api.github.com/repos/django/django/git/commits/0ed7d155635da9f79d4dd67e4889087d3673c6da,2015-01-28
MDY6Q29tbWl0NDE2NDQ4Mjo5NzA0YjBhODJlMWYxYzZlZDAxMThmOTQ4YTU2NjUyNTk0ZjBhNDNi,Tim Graham,Tim Graham,Removed forms.forms.get_declared_fields() per deprecation timeline; refs #19617.,https://api.github.com/repos/django/django/git/commits/9704b0a82e1f1c6ed0118f948a56652594f0a43b,2015-01-18
MDY6Q29tbWl0NDE2NDQ4MjozZjllYzEyZDljOWVmZjlhM2IxYTIwNWQ4N2M3ZTY2NTg3Y2Y5OTY3,Yang Liu,Tim Graham,Fixed #23712 -- Fixed KeyError with BaseForm._html_output(),https://api.github.com/repos/django/django/git/commits/3f9ec12d9c9eff9a3b1a205d87c7e66587cf9967,2015-01-06
MDY6Q29tbWl0NDE2NDQ4Mjo1NjBiNDIwN2IxNDkwYTdkMGNiZjcwY2ZiZWJhN2RhZjIwODJlNWJl,Berker Peksag,Tim Graham,"Removed redundant numbered parameters from str.format().

Since Python 2.7 and 3.1, ""{0} {1}"" is equivalent to ""{} {}"".",https://api.github.com/repos/django/django/git/commits/560b4207b1490a7d0cbf70cfbeba7daf2082e5be,2014-11-27
MDY6Q29tbWl0NDE2NDQ4MjoxMTAxNDY3Y2UwNzU2MjcyYTU0ZjRjN2JjNjVjNGMzMzVhOTQxMTFi,Tim Graham,Tim Graham,"Limited lines to 119 characters in django/

refs #23395.",https://api.github.com/repos/django/django/git/commits/1101467ce0756272a54f4c7bc65c4c335a94111b,2014-09-04
MDY6Q29tbWl0NDE2NDQ4MjphNjY5MWU1ZGNmZGZkMTUyOTk4N2JlM2JkY2YwNmU3YWI5OTQ4MzU2,areski,Tim Graham,"Fixed #23167 -- Added BaseForm.__repr__()

Thanks Keryn Knight for the idea.",https://api.github.com/repos/django/django/git/commits/a6691e5dcfdfd1529987be3bdcf06e7ab9948356,2014-08-21
MDY6Q29tbWl0NDE2NDQ4MjpkZWVkMDBjMGQ4MDNkMzI0YTNkZmRlYmE1MjQ1OGI2YjAwOWMxYTkw,Gabriel Muñumel,Tim Graham,Fixed #23162 -- Renamed forms.Field._has_changed() to has_changed().,https://api.github.com/repos/django/django/git/commits/deed00c0d803d324a3dfdeba52458b6b009c1a90,2014-08-07
MDY6Q29tbWl0NDE2NDQ4Mjo1ZTA2ZmExNDY5MTgwOTA5YzUxYzA3MTUxNjkyNDEyMjY5ZTUxZWEz,Vincent-Vega,Tim Graham,"Fixed #22745 -- Prevented reevaluation of ModelChoiceField's queryset when accesssing BoundField's attrs.

Thanks Christian Schmitt for review.",https://api.github.com/repos/django/django/git/commits/5e06fa1469180909c51c07151692412269e51ea3,2014-06-16
MDY6Q29tbWl0NDE2NDQ4MjozOTljZjMwM2NiZmUwODZlNzhmZDk0MjFiNzVjNmRmNTVmYzIzNGQw,Tim Graham,Tim Graham,Corrected a comment in forms/forms.py; refs #16612.,https://api.github.com/repos/django/django/git/commits/399cf303cbfe086e78fd9421b75c6df55fc234d0,2014-08-04
MDY6Q29tbWl0NDE2NDQ4MjpkZTBhMjJiZTM1YmJlNmYyM2Q4MjZiY2M5YWEyNzc1NmZmZTU5ZThj,Baptiste Mispelon,Baptiste Mispelon,Fixed two typos in docstrings.,https://api.github.com/repos/django/django/git/commits/de0a22be35bbe6f23d826bcc9aa27756ffe59e8c,2014-08-02
MDY6Q29tbWl0NDE2NDQ4Mjo5MjA5MDQ5MjExYWNiZTFhNTNjM2RjNDA5ZGQ1ZmUyNmVkZjIxNjM0,Claude Paroz,Claude Paroz,"Ensured bound field renders as unicode safe data

Refs #22950.",https://api.github.com/repos/django/django/git/commits/9209049211acbe1a53c3dc409dd5fe26edf21634,2014-07-05
